acession_no,book_title,author,price_inr,price_dollar,price_euro,publisher,issued,number_donated,book_shelf_no,compartment_no,no_copies
2137.0,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,350.00,,,BPB,,932997,DCSE/E/98/5,1.0,1.0
2140.0,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,449.29,,,BPB,,932998,DCSE/E/98/5,1.0,2.0
3198.0,An Integrated Approach to Software Engineering,Jalote,350.00,,,Narosa,,1113387,DCSE/E/98/5,1.0,3.0
1721.0,Programming Languages(REPLACE),Pratt & Zelkourity,195.00,,,PHI,ISSUED (PKS),891163,DCSE/E/98/5,1.0,4.0
1839.0,Programming with C++ (REPLACE),Hubbard.J,,,,MC GRAW,,897893,DCSE/E/98/5,1.0,5.0
1722.0,Programming Languages (replace),Pratt & Zelkourity,195.00,,,PHI,,891162,DCSE/E/98/5,1.0,6.0
2360.0,Compilers,Aho Sethi Ullman,395.00,,,Pearson,,978707,DCSE/E/98/5,1.0,7.0
3105.0,UNIX Network Programming,Stevens,395.00,,,PHI,,1113551,DCSE/E/98/5,1.0,8.0
3215.0,Modern Operating System,Tanenbaum,450.00,,,PHI,,1113505,DCSE/E/98/5,1.0,9.0
3104.0,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465.00,,,Pearson,,1113405,DCSE/E/98/5,1.0,10.0
3203.0,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655.00,,,Pearson,,1113382,DCSE/E/98/5,1.0,11.0
3166.0,Computer Graphics Principles & Practices in C,"Foley,Dam,Feiner,John",725.00,,,Pearson,,1113417,DCSE/E/98/5,1.0,12.0
3201.0,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655.00,,,Pearson,,1113385,DCSE/E/98/5,1.0,13.0
3146.0,Operating Systems Internals & Design Principles,Stallings,525.00,,,Pearson,,1113521,DCSE/E/98/5,1.0,14.0
3102.0,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465.00,,,Pearson,,1113407,DCSE/E/98/5,1.0,15.0
3124.0,Fundamentals of Computer Algorithm,"Horowitz,sahni,Rajshekhran",375.00,,,University Press,,1113480,DCSE/E/98/5,1.0,16.0
3213.0,Artificial Intelligence- A Modern Approach,"Russell,Norvig",535.00,,,Pearson,,1113402,DCSE/E/98/5,3.0,17.0
3109.0,Artificial Intelligence ,"Rich,Knight,Nair",435.00,,,Tata MCG,,1113397,DCSE/E/98/5,2.0,1.0
3130.0,Fundamentals of Database Systems,Elmasri Navathe,525.00,,,Pearson,,1113483,DCSE/E/98/5,2.0,2.0
3132.0,Fundamentals of Database Systems,Elmasri Navathe,525.00,,,Pearson,,1113485,DCSE/E/98/5,2.0,3.0
3322.0,"Advanced Computer Architectures- Parallism, Scalability, Programmability","Hwang,J",650.00,,,McGRAW Hill,,1105728,DCSE/E/98/5,2.0,4.0
