acession_no,book_title,author,price_inr,price_dollar,price_euro,publisher,issued,number_donated,book_shelf_no,compartment_no,no_copies
1.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736445.0,DCSE|98|E|3,1.0,20.0
2.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736444.0,DCSE|98|E|3,1.0,21.0
3.0,COBOL for Beginners,"Worth,Thomas",35.00,,,PHI,,736446.0,DCSE|98|E|3,2.0,20.0
4.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,812808.0,CS/E/99-1,1.0,4.0
4.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736448.0,DCSE|98|E|3,1.0,22.0
5.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736449.0,DCSE|98|E|3,1.0,23.0
6.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736450.0,DCSE|98|E|3,1.0,24.0
7.0,COBOL for Beginners,"Worth,Thomas",55.00,,,PHI,,736447.0,DCSE|98|E|3,1.0,25.0
8.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736451.0,DCSE|98|E|3,1.0,14.0
9.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736452.0,DCSE|98|E|3,1.0,15.0
10.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736453.0,DCSE|98|E|3,1.0,16.0
11.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736454.0,DCSE|98|E|3,1.0,17.0
12.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736455.0,DCSE|98|E|3,1.0,18.0
13.0,Computer Prog. In Fortran IV Ed.2,"Rajaraman,V.",35.00,,,PHI,,736456.0,DCSE|98|E|3,1.0,19.0
29.0,Fundamentals of Computer,"Rajaraman,V.",39.00,,,PHI,,32.0,DCSE|98|E|3,1.0,29.0
33.0,Computer & Commonsense Ed.3,H.Roger & S.John,25.00,,,PHI,,736483.0,DCSE|98|E|3,1.0,4.0
34.0,Computer & Commonsense Ed.3,H.Roger & S.John,25.00,,,PHI,,736484.0,DCSE|98|E|3,1.0,5.0
