acession_no,book_title,author,price_inr,price_dollar,price_euro,publisher,issued,number_donated,book_shelf_no,compartment_no,no_copies
,Introduction to Computer Theory,Cohen,,,,Wiley India,,,DCSE/E/98/5,5.0,1.0
,Understanding Pointers in C,Kanetkar,,,,BPV,,,DCSE/E/98/5,5.0,2.0
,Operating system concepts,greg gagne,,,,Wiley,,donated,DCSE/E/98/5,5.0,3.0
,Simulation modelling and analysis,M-low,,,,SIE,,donated,DCSE/E/98/5,5.0,4.0
,Simulation modelling and analisys,M-low,,,,SIE,,donated,DCSE/E/98/5,5.0,5.0
,Let us c,Kanetkar,,,,BPV,,,DCSE/E/98/5,5.0,6.0
,Let us c,Kanetkar,,,,BPV,,,DCSE/E/98/5,5.0,7.0
,Digital Logic and computer design,m morris,,,,pearson,,,DCSE/E/98/5,5.0,8.0
,programming collective intelligence,toby,,,,Oreilly,,,DCSE/E/98/5,5.0,9.0
,Computer Networks,forouzan,,,,SIE,,,DCSE/E/98/5,5.0,11.0
,Data Mining : concepts and techniques,kamber,,,,MK,,,DCSE/E/98/5,5.0,12.0
,Programming in ANSI C,E Balagurusamy,,,,McGraw Hill,,,DCSE/E/98/5,5.0,13.0
,Software Modeling and design,hasan,,,,Cambridge,,,DCSE/E/98/5,5.0,14.0
,Modern Statistical System and GPSS simulation,Karian,,,,CRC Press,,donated,DCSE/E/98/5,5.0,15.0
,Data Mining,Shawkat Ali,,,,Cengage,,,DCSE/E/98/5,5.0,16.0
,The complete reference UNIX,Kenneth H rosen,,,,McGraw Hill,,,DCSE/E/98/5,5.0,17.0
,Fundamental of information communication technology,BK sharma,,,,YK publication,,,DCSE/E/98/5,5.0,18.0
,Computing fundamental in C programming,Balaguruswamy,,,,McGraw Hill,,,DCSE/E/98/5,5.0,19.0
,Fundamental Computers,Rajaraman,,,,PHI,,,DCSE/E/98/5,5.0,20.0
,Developing enterprise applications and web service using (J2EE Web components),Student Guide),,,,NIIT,,,DCSE/E/98/5,5.0,21.0
,Developing enterprise applications and web service using,Student Guide),,,,NIIT,,,DCSE/E/98/5,5.0,22.0
,Developing enterprise applications and web service using (XML),Student Guide),,,,NIIT,,,DCSE/E/98/5,5.0,23.0
,Developing enterprise applications and web service using (Projects),Student Guide),,,,NIIT,,,DCSE/E/98/5,5.0,24.0
,Developing enterprise applications and web service using (service components),Student Guide),,,,NIIT,,,DCSE/E/98/5,5.0,25.0
,Database driven websites,Morrison,,,,Course technology,,,DCSE/E/98/5,5.0,26.0
,GRE,Brown stein,,,,Barrons,,,DCSE/E/98/5,5.0,27.0
,,,,,,,,,CS/E/99-3,,
,,,,,,,,,CS/E/99-3,,
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,1.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,2.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,3.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,4.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,5.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,6.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,7.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,8.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,9.0
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1.0,10.0
,Computer Organisation and Architecture,William Stallings,,,,PHI,,,DCSE/6/1,1.0,12.0
,Visual Basic 6 programming,Steven Holzner,,,,Dreamtech press,,,DCSE/6/1,1.0,13.0
,Frontiers of Electronic Commerce,"Kalakota, winston",,,,Pearson,,,DCSE/6/1,1.0,14.0
,Software Metrics,Norman E fenton,,,,Chapman & hall,,16503,DCSE/6/1,1.0,15.0
,Software Engineering Principles and practices,Deepak Jain,,,,Oxford,,,DCSE/6/1,1.0,16.0
,Software Quality Assurances,Nina S Godbole,,,,Narosa,,,DCSE/6/1,1.0,17.0
,Procedural Elements for computer graphics,David f rogers,,,,McGRAW Hill,,,DCSE/6/1,1.0,19.0
,Networking in 24 hours,Matt Hayden,,,,Techmedia,,,DCSE/6/1,1.0,20.0
,Computer Graphics,Ak Prajapati,,,,Paragati Prakashan,,,DCSE/6/1,1.0,21.0
,UNIX system administration handbook,Nemeth Snyder seebass,,,,PH PTR,,,DCSE/6/1,2.0,1.0
,Advanced MS DOS,Ray Duncan,,,,bpb,,,DCSE/6/1,2.0,2.0
,Computer System Architecture,M morris mano,,,,Pearson,,,DCSE/6/1,2.0,3.0
,Computer Viruses,Rajneesh Kapoor,,,,bpb,,Donated,DCSE/6/1,2.0,4.0
,Computer Concepts,"Parsons, oja",,,,Thomson course technology,,,DCSE/6/1,2.0,5.0
,Windows Programming,jim conger,,,,Galgotia,,Donated,DCSE/6/1,2.0,6.0
,Visual C++,Chapman,,,,Techmedia,,Donated,DCSE/6/1,2.0,7.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,8.0
,The UNIX programmign environment ,"Brian WK, Rob Pike",,,,PHI,,Donated,DCSE/6/1,2.0,9.0
,Statistical advances in bio sciences and bio informatics,Manju pander,,,,Allied publication,,,DCSE/6/1,2.0,10.0
,turbo pascal companion,satish jain,,,,bpb,,Donated,DCSE/6/1,2.0,11.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,12.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,13.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,14.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,15.0
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2.0,16.0
,The C odyssey UNIX,"Neeta Gandhi, shah",,,,bpb,,,DCSE/6/1,2.0,17.0
,Theory of Computer Science,"KLP mishra, chandrashekhran",,,,PHI,,,DCSE/6/1,2.0,18.0
,software project secrets,george stepanek,,,,A Press,,,DCSE/6/1,2.0,19.0
,Theory of Computer Science,"KLP mishra, chandrashekhran",,,,PHI,,,DCSE/6/1,2.0,20.0
,Linux (teach yourself),"Craig, coletta",,,,Techmedia,,,DCSE/6/1,2.0,21.0
,Operating system principles,"Silberschatz, Galvin",,,,Wiley,,,DCSE/6/1,2.0,22.0
,Graphics Under C,Yashwanth K,,,,bpb,,,DCSE/6/1,2.0,23.0
,UNIX Vol 1,Sumitabha Das,,,,McGRAW Hill,,,DCSE/6/1,2.0,24.0
,Data mining and statistical analysis using SQL,Trueblood and lovett,,,,A Press,,,DCSE/6/1,3.0,1.0
,Distributed data applications with ASP.NET,Homer & Susman,,,,A Press,,,DCSE/6/1,3.0,2.0
,Programming Logic and Design,Joyce Farrell,,,,Thomson course technology,,,DCSE/6/1,3.0,3.0
,Computer Organization and architecture,William Stallings,,,,PHI,,,DCSE/6/1,3.0,4.0
,The C odyssey : C++ and graphics,"Neeta Gandhi, shah",,,,bpb,,,DCSE/6/1,3.0,5.0
,Visual Basic 6,Greg Parry,,,,Techmedia,,,DCSE/6/1,3.0,6.0
,Red Hat fedora and enterprise Linux 4 Bible,Christropher Nigus,,,,Wiley,,,DCSE/6/1,3.0,7.0
,Microcomputer systems The 8086/8088 family,"Yu Cheng Liu, Glenn A. Gibson",,,,PHI,,,DCSE/6/1,3.0,8.0
,Components of information technology,KP yadav,,,,Standard Publishers,,,DCSE/6/1,3.0,10.0
,The programmers guide to SQL,Darry & Watson,,,,A Press,,,DCSE/6/1,3.0,11.0
,Visual Basic 6,Noel Jerke,,,,McGRAW Hill,,,DCSE/6/1,3.0,12.0
,Data structure using C,Tenenbaum ,,,,Pearson,,,DCSE/6/1,3.0,13.0
,Probability & statistics,murray,,,,McGRAW Hill,,Donated,DCSE/6/1,3.0,14.0
,Microsoft C++,Kruglinski,,,,Microsoft Press,,,DCSE/6/1,3.0,15.0
,Introduction to design and analysis of algorthms,Anany Levitian,,,,Pearson,,,DCSE/6/1,3.0,16.0
,IBM PC Assembly Language & Programming,Peter Abel,,,,Pearson,,,DCSE/6/1,3.0,17.0
,Discrete Mathematics and Combinatorics,T. Sengadir,,,,Pearson,,,DCSE/6/1,3.0,18.0
,Foundations of Software Testing,"Graham, van veenendal",,,,Thomson,,,DCSE/6/1,3.0,19.0
,Combinatorial Methods with computer applications,Jonathan L Gross,,,,Chapman & hall,,,DCSE/6/1,3.0,20.0
,ISDN and broadband ISDN with frame relay and ATM,William Stallings,,,,Pearson,,,DCSE/6/1,3.0,21.0
,PHP MySQL Website Programming,"Lea, buzzart",,,,A Press,,,DCSE/6/1,4.0,1.0
,Methods and models in computing,S Minz,,,,Allied publication,,,DCSE/6/1,4.0,2.0
,Java Swing,John zukowski,,,,A press,,,DCSE/6/1,4.0,3.0
,Visual Basic.NRT Class design handbook,"Allision , olsen",,,,A Press,,,DCSE/6/1,4.0,4.0
,Algorithms and Protocols for wireless sensor networks,AZZEDINE BOUKERCHE,,,,WILLEY,,,DCSE/6/1,4.0,5.0
,Real world. NET Publicaton,Budi Kurniawan,,,,A Press,,,DCSE/6/1,4.0,6.0
,Handbook of real Time and embedded system,"Lea,Leung, son",,,,Chapman & hall,,,DCSE/6/1,4.0,7.0
,A Programmers introduction to C#,Gunnerson,,,,A Press,,,DCSE/6/1,4.0,8.0
,A Programmers introduction to C# 2.0,Gunnerson,,,,A Press,,,DCSE/6/1,4.0,9.0
,Data structure ,Horowitz,,,,Galgotia,,,DCSE/6/1,4.0,10.0
,Let US C++,Yashwanth K,,,,BPB,,,DCSE/6/1,4.0,11.0
,Simulation Modelling and analysis,"W. David K., Aberill M. Law",,,,McGRAW Hill,,911363,DCSE/6/1,4.0,12.0
,Learning DCOM,Thuan L. Thai,,,,OREILLY,,,DCSE/6/1,4.0,13.0
,The working programmmers guide to serial protocols,Tim Kienpzle,,,,Coriolis Group Books,,Donated,DCSE/6/1,4.0,14.0
,JAVA TOOLS,"Andreas Ebeheart,Stefan Fischer",,,,WILLEY,,,DCSE/6/1,4.0,15.0
